Year,American Indian or Alaska Native,Arab,Asian,Atheism/Agnosticism,Bisexual,Black or African American,Buddhist,Catholic,"Eastern Orthodox (Russian, Greek, Other)",Female,Gay (Male),Heterosexual,Hindu,Hispanic or Latino,Islamic (Muslim),Jehovah's Witness,Jewish,Lesbian (Female),"Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Male,Mental Disability,Mormon,"Multiple Races, Group",Native Hawaiian or Other Pacific Islander,Other Race/Ethnicity/Ancestry,Physical Disability,Protestant,Sikh,Transgender,White,Total Population
1991,2010906,885000,7242074,17985009,4559579,30453273,1157584,39357874,1543446,128553622,4865513,244448302,1720942,23649234,2662444,1003239,5378909,4370823,14185359,124756745,25330999,5087348,6127398,368405,10360269,25330999,108812947,385861,1080412,187885743,253310000
1992,2062578,920000,7575510,18212919,4617359,30920486,1172253,39856626,1563004,130182682,4927169,247546004,1742750,24944410,2696183,1015953,5447072,4426211,14365119,126337690,25651999,5151816,6205046,371786,10915692,25651999,110191849,390751,1094103,188493191,256520000
1993,2114250,955000,7908946,18440829,4675139,31387699,1186922,40355377,1582563,131811742,4988826,250643707,1764558,26239586,2729922,1028666,5515234,4481599,14544879,127918635,25972999,5216284,6282694,375167,11471114,25972999,111570750,395640,1107794,189100639,259730000
1994,2165922,990000,8242382,18668739,4732919,31854912,1201592,40854129,1602122,133440802,5050483,253741409,1786366,27534762,2763661,1041379,5583397,4536987,14724639,129499580,26293999,5280752,6360341,378548,12026537,26293999,112949652,400530,1121485,189708087,262940000
1995,2217595,1025000,8575818,18896649,4790699,32322125,1216261,41352881,1621681,135069861,5112140,256839112,1808175,28829938,2797400,1054093,5651560,4592375,14904399,131080524,26614999,5345220,6437989,381929,12581960,26614999,114328553,405420,1135177,190315535,266150000
1996,2269267,1060000,8909254,19124559,4848479,32789338,1230930,41851632,1641240,136698921,5173797,259936815,1829983,30125114,2831139,1066806,5719723,4647763,15084159,132661469,26935999,5409688,6515637,385310,13137382,26935999,115707455,410310,1148868,190922982,269360000
1997,2320939,1095000,9242690,19352469,4906259,33256551,1245599,42350384,1660799,138327981,5235454,263034517,1851791,31420290,2864878,1079519,5787885,4703151,15263919,134242414,27256999,5474156,6593284,388691,13692805,27256999,117086357,415199,1162559,191530430,272570000
1998,2372611,1130000,9576126,19580379,4964039,33723764,1260268,42849136,1680358,139957041,5297111,266132220,1873599,32715466,2898618,1092232,5856048,4758539,15443679,135823359,27577999,5538624,6670932,392072,14248227,27577999,118465258,420089,1176250,192137878,275780000
1999,2424283,1165000,9909562,19808289,5021819,34190977,1274937,43347887,1699917,141586100,5358767,269229923,1895407,34010642,2932357,1104946,5924211,4813927,15623439,137404304,27898999,5603092,6748580,395453,14803650,27898999,119844160,424979,1189942,192745326,278990000
2000,2475956,1200000,10242998,20036199,5079599,34658190,1289607,43846639,1719476,143215160,5420424,272327625,1917215,35305818,2966096,1117659,5992374,4869315,15803199,138985249,28219999,5667560,6826228,398835,15359073,28219999,121223061,429869,1203633,193352774,282200000
2001,2521585,1230000,10686123,20228609,5128379,35085302,1301991,44267703,1735988,144590472,5472477,274942820,1935627,36822995,2994579,1128392,6049919,4916076,15954959,140319941,28490999,5721986,7044512,412952,15733902,28490999,122387181,433997,1215191,193549251,284910000
2002,2567214,1260000,11129248,20421019,5177159,35512415,1314375,44688768,1752500,145965784,5524530,277558014,1954038,38340173,3023063,1139125,6107465,4962836,16106719,141654633,28761999,5776413,7262797,427070,16108732,28761999,123551300,438125,1226750,193745729,287620000
2003,2612843,1290000,11572374,20613429,5225939,35939528,1326759,45109832,1769013,147341097,5576583,280173208,1972449,39857350,3051547,1149858,6165010,5009597,16258479,142989324,29032999,5830839,7481081,441188,16483561,29032999,124715420,442253,1238309,193942207,290330000
