Year,American Indian or Alaska Native,Arab,Asian,Atheism/Agnosticism,Bisexual,Black or African American,Buddhist,Catholic,"Eastern Orthodox (Russian, Greek, Other)",Female,Gay (Male),Gender Non-Conforming,Heterosexual,Hindu,Hispanic or Latino,Islamic (Muslim),Jehovah's Witness,Jewish,Lesbian (Female),"Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Male,Mental Disability,Mormon,"Multiple Races, Group","Multiple Religions, Group",Native Hawaiian or Other Pacific Islander,Other Christian,Other Race/Ethnicity/Ancestry,Other Religion,Physical Disability,Protestant,Sikh,Transgender,Unknown (offender's motivation not known),White
1991,11,101,341,4,2,2089,0,23,0,0,390,0,3,0,352,10,0,865,58,79,0,0,0,140,11,0,0,147,51,0,28,0,0,0,1117
1992,36,83,290,1,3,2971,0,18,0,0,685,0,19,0,510,17,0,1205,134,138,0,0,0,219,14,0,0,275,77,0,30,0,0,0,1739
1993,44,68,319,3,2,3581,0,33,0,0,718,0,28,0,578,15,0,1250,154,143,0,0,0,241,14,0,0,252,69,0,38,0,0,0,1869
1994,30,66,280,3,10,2748,0,21,0,0,580,0,16,0,479,17,0,1139,121,83,0,0,0,183,14,0,0,305,77,0,41,0,0,0,1319
1995,59,70,496,1,18,3963,0,53,0,0,941,0,19,0,703,41,0,1237,191,182,0,0,0,384,24,0,0,276,196,0,65,0,0,0,1579
1996,71,51,548,2,12,4607,0,38,0,0,946,0,38,0,736,33,0,1209,192,100,0,0,0,342,27,0,0,435,173,0,81,0,0,0,1453
1997,48,49,465,3,10,4021,0,33,0,0,963,0,14,0,648,32,0,1250,239,225,0,3,0,330,27,0,0,435,185,10,62,0,0,0,1313
1998,66,33,377,2,18,3798,0,63,0,0,1032,0,17,0,642,23,0,1244,284,181,0,14,0,416,45,0,0,315,291,14,63,0,0,0,1020
1999,52,32,385,5,25,3727,0,41,0,0,1082,0,16,0,603,34,0,1294,229,218,0,10,0,387,47,0,0,424,225,11,53,0,0,0,1005
2000,67,50,338,7,21,3619,0,63,0,0,1070,0,28,0,786,37,0,1287,246,234,0,18,0,388,59,0,0,406,212,20,62,0,0,0,1122
2001,99,303,363,5,15,3751,0,38,0,0,1166,0,20,0,825,575,0,1216,257,227,0,25,0,318,55,0,0,1528,247,14,35,0,0,0,1006
2002,72,98,282,2,16,3106,0,68,0,0,975,0,26,0,645,175,0,1091,225,270,0,34,0,243,26,0,0,681,239,20,56,0,0,0,900
2003,81,16,297,13,10,3181,0,80,0,0,920,0,17,0,604,174,0,1030,227,319,0,12,0,231,25,0,0,719,118,44,53,0,0,0,1024
2004,104,0,278,7,16,3513,0,68,0,0,903,0,32,0,655,203,0,1089,212,313,0,46,0,253,39,0,0,610,140,24,50,0,0,0,1029
2005,97,0,253,5,29,3371,0,70,0,0,793,0,23,0,739,166,0,1067,194,238,0,36,0,273,48,0,0,517,113,21,57,0,0,0,967
2006,73,0,243,8,20,3311,0,85,0,0,906,0,36,0,834,209,0,1140,201,312,0,77,0,329,102,0,0,495,149,23,66,0,0,0,1023
2007,79,0,236,9,24,3464,0,70,0,0,898,0,28,0,828,142,0,1131,197,381,0,43,0,304,58,0,0,521,148,20,66,0,0,0,902
2008,65,0,179,14,28,3694,0,93,0,0,1011,0,34,0,810,130,0,1172,208,481,0,67,0,289,72,0,0,456,228,34,61,0,0,0,878
2009,90,0,154,11,27,2927,0,64,0,0,825,0,21,0,695,132,0,1136,228,391,0,72,0,253,59,0,0,421,135,24,42,0,0,0,662
2010,47,0,207,7,29,2767,0,65,0,0,879,0,22,0,747,197,0,1040,181,420,0,25,0,242,55,0,0,377,144,24,47,0,0,0,699
2011,75,0,174,4,29,2656,0,91,0,0,902,0,22,0,531,198,0,936,175,476,0,43,0,185,58,0,0,413,158,30,53,0,0,0,618
2012,119,0,168,13,40,2593,0,91,0,2,879,4,28,0,569,177,0,1045,203,416,0,99,0,163,89,0,0,382,129,23,40,0,0,0,800
2013,116,0,163,7,30,2446,0,76,0,25,909,8,24,0,442,177,0,742,199,349,7,85,0,113,54,3,0,404,143,30,50,0,25,0,771
2014,158,7,200,13,51,2078,0,76,0,31,721,41,20,0,403,186,0,653,178,321,12,80,0,127,87,4,0,425,129,33,40,0,71,0,760
2015,141,54,141,4,35,2239,1,61,51,25,807,46,24,6,396,310,1,737,171,252,8,36,8,160,58,6,18,345,107,56,48,6,77,0,793
2016,173,70,145,6,29,2285,2,65,34,27,827,21,23,13,513,398,3,893,166,296,10,62,8,209,48,9,39,267,108,50,23,11,113,0,961
2017,314,139,167,8,29,2574,21,85,25,59,795,13,39,14,581,542,13,1079,178,359,33,129,12,470,64,17,29,340,103,75,52,24,131,0,857
2018,204,96,180,5,20,2489,10,58,35,53,950,28,27,16,690,246,16,967,180,370,36,118,10,182,59,20,61,317,105,71,39,56,163,1,1141
2019,151,154,253,7,31,2775,8,81,53,80,986,75,23,10,761,269,8,1247,168,406,25,125,18,213,57,33,84,468,120,65,34,84,199,0,880
